[SUCCESS #1] 2026/3/29 07:05:25 | ::ffff:127.0.0.1 | ark-code-latest | Tokens:1858+9 | Req:5.7KB | Resp:3.2KB | 07:05:26 | 200 | 1.85s | 02177473912518520e33ae3714a969f29832d54235fd2cc312ebe
[SUCCESS #2] 2026/3/29 07:05:25 | ::ffff:127.0.0.1 | ark-code-latest | Tokens:24589+1660 | Req:95.1KB | Resp:392.1KB | 07:05:29 | 200 | 4.61s | 021774739125204d05e5c3b12045884e5304df23f9a3a83ca5d23
[SUCCESS #3] 2026/3/29 07:05:37 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:16775+218+133r | Req:63.3KB | Resp:56.8KB | 07:05:51 | 200 | 13.45s | 021774739137780b060a07fba38d5479db0751ac158bec5e3124e
[SUCCESS #4] 2026/3/29 07:05:36 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:16774+247+175r | Req:63.3KB | Resp:66.3KB | 07:05:58 | 200 | 22.26s | 021774739136332336c0ccc8833e375a271994f02c20b0940971a
[SUCCESS #5] 2026/3/29 07:05:32 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:16793+296+141r | Req:63.4KB | Resp:69.5KB | 07:05:59 | 200 | 26.61s | 02177473913280342e276d595e9cfc376ad966d4ec212461a0133
[SUCCESS #6] 2026/3/29 07:05:34 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:16769+323+179r | Req:63.4KB | Resp:80.5KB | 07:06:02 | 200 | 27.57s | 02177473913454064d8a6219dbbdb6281842e0590025e928caeb6
[SUCCESS #7] 2026/3/29 07:05:42 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:16777+316+178r | Req:63.3KB | Resp:78.8KB | 07:06:04 | 200 | 21.72s | 02177473914242942e276d595e9cfc376ad966d4ec21246ed09d1
[SUCCESS #9] 2026/3/29 07:05:40 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:16796+285+139r | Req:63.4KB | Resp:69.1KB | 07:06:06 | 200 | 25.61s | 0217747391407950076f3f588c303a7ab8265369cf815766b3ed8
[SUCCESS #8] 2026/3/29 07:05:44 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:16794+512+223r | Req:63.4KB | Resp:122.9KB | 07:06:05 | 200 | 21.72s | 021774739144099d05e5c3b12045884e5304df23f9a3a83862c91
[SUCCESS #10] 2026/3/29 07:05:39 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:16774+198+120r | Req:63.3KB | Resp:50.7KB | 07:06:11 | 200 | 32.08s | 02177473913930085c9a7acb047d6dabbfa02bbf3a2b67b20c5d7
[SUCCESS #12] 2026/3/29 07:06:05 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:19030+277+87r-16440c | Req:71.3KB | Resp:63.3KB | 07:06:32 | 200 | 26.74s | 02177473916605442e276d595e9cfc376ad966d4ec21246868fee
[SUCCESS #14] 2026/3/29 07:06:02 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:18196+190+76r-16440c | Req:68.6KB | Resp:48.0KB | 07:06:33 | 200 | 31.29s | 021774739162655336c0ccc8833e375a271994f02c20b094c365e
